PWY_NAME	PWY_COMMON_NAME
N2FIX-PWY	nitrogen fixation
PWY-5986	ammonium transport
CYANCAT-PWY	cyanate degradation
PWY-6592	manganese oxidation II
PWY-6591	manganese oxidation I
PWY-6932	selenate reduction
PWY-6692	Fe(II) oxidation
PWY-5949	Fe(II)-nicotianamine transport in phloem
PWY0-1471	uracil degradation III
PWY-6426	uracil degradation I (oxidative)
PWY0-1295	pyrimidine ribonucleosides degradation I
PWY-6556	pyrimidine ribonucleosides degradation II
PWY0-1298	pyrimidine deoxyribonucleosides degradation
PWY-6430	thymine degradation
PWY-6608	guanosine nucleotides degradation III
PWY-6607	guanosine nucleotides degradation I
PWY-6606	guanosine nucleotides degradation II
SALVADEHYPOX-PWY	adenosine nucleotides degradation II
PWY-6617	adenosine nucleotides degradation III
PWY-6596	adenosine nucleotides degradation I
PWY-5532	adenosine nucleotides degradation IV
PWY0-1296	purine ribonucleosides degradation to ribose-1-phosphate
PWY-6019	pseudouridine degradation
PWY-5497	purine nucleotides degradation IV (anaerobic)
P164-PWY	purine nucleotides degradation III (anaerobic)
PWY0-1391	S-methyl-5-thioadenosine degradation IV
PWY-6756	S-methyl-5-thioadenosine degradation II
PWY-6754	S-methyl-5-thioadenosine degradation I
PWY-6753	S-methyl-5-thioadenosine degradation III
PWY0-1297	purine deoxyribonucleosides degradation
PWY-6227	purine uptake
PWY-6261	thyroid hormone metabolism II (via conjugation and/or degradation)
PWY-6260	thyroid hormone metabolism I (via deiodination)
PWY-2841	cytokinins degradation
PWY-5811	IAA degradation VII
PWY-5797	IAA degradation VI
PWY-5788	IAA degradation V
PWY-5784	IAA conjugate biosynthesis II
PWY-2021	IAA degradation IV
PWY-1981	IAA degradation III
PWY-1962	IAA degradation II
PWY-1961	IAA degradation I
PWY-6400	melatonin degradation III
PWY-6399	melatonin degradation II
PWY-6398	melatonin degradation I
PWY-6688	thyronamine and iodothyronamine metabolism
PWY-6342	noradrenaline and adrenaline degradation
PWY-6313	serotonin degradation
PWY0-1337	oleate beta-oxidation
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
PWY-5138	fatty acid beta-oxidation IV (unsaturated, even number)
PWY-5137	fatty acid beta-oxidation III (unsaturated, odd number)
PWY-5136	fatty acid beta-oxidation II (core pathway)
PWY-2724	fatty acid omega-oxidation
PWY-2501	fatty acid alpha-oxidation
FAO-PWY	fatty acid beta-oxidation I
PWY-5533	acetone degradation II (to acetoacetate)
PWY-5451	acetone degradation I (to methylglyoxal)
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	sophorosyloxydocosanoate degradation
PWY6666-1	anandamide degradation
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism
PWY-6483	ceramide degradation
PWY-6368	3-phosphoinositide degradation
PWY-6111	mitochondrial L-carnitine shuttle pathway
LIPAS-PWY	triacylglycerol degradation
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)
LIPASYN-PWY	phospholipases
XYLCAT-PWY	xylose degradation I
PWY-6760	xylose degradation III
PWY-5516	xylose degradation II
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)
PWY0-1466	trehalose degradation VI (periplasmic)
PWY0-1182	trehalose degradation II (trehalase)
PWY-2723	trehalose degradation V
PWY-2722	trehalose degradation IV
PWY-2721	trehalose degradation III
SUCUTIL-PWY	sucrose degradation I
SUCROSEUTIL2-PWY	sucrose degradation II
PWY66-373	sucrose degradation V (mammalian)
PWY-621	sucrose degradation III
PWY-5384	sucrose degradation IV
LACTOSEUTIL-PWY	lactose degradation II
BGALACT-PWY	lactose degradation III
RHAMCAT-PWY	L-rhamnose degradation I
PWY-6714	L-rhamnose degradation III
PWY-6713	L-rhamnose degradation II
PWY-5517	L-arabinose degradation III
PWY-5515	L-arabinose degradation II
ARABCAT-PWY	L-arabinose degradation I
PWY-6693	galactose degradation IV
PWY-6317	galactose degradation I (Leloir pathway)
LACTOSECAT-PWY	lactose and galactose degradation I
GALDEG-PWY	galactose degradation II
PWY-5519	D-arabinose degradation III
DARABCATK12-PWY	D-arabinose degradation I
DARABCAT-PWY	D-arabinose degradation II
RIBOKIN-PWY	ribose degradation
PWY0-44	D-allose degradation
PWY0-1314	fructose degradation
PWY0-1301	melibiose degradation
PWY0-1300	2-O-alpha-mannosyl-D-glycerate degradation
PWY-3861	mannitol degradation II
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)
PWY-1081	homogalacturonan degradation
P302-PWY	L-sorbose degradation
P124-PWY	Bifidobacterium shunt
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)
MANNCAT-PWY	D-mannose degradation
MALTOSECAT-PWY	maltose degradation
LYXMET-PWY	L-lyxose degradation
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
FUCCAT-PWY	fucose degradation
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)
PWY-6812	xyloglucan degradation III (cellobiohydrolase)
PWY-6807	xyloglucan degradation II (exoglucanase)
PWY-6791	xyloglucan degradation I (endoglucanase)
PWY-6789	(1,3)-beta-D-xylan degradation
PWY-6717	(1,4)-beta-xylan degradation
PWY-6737	starch degradation V
PWY-6735	starch degradation IV
PWY-6731	starch degradation III
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)
PWY-6769	rhamnogalacturonan type I degradation I (fungi)
PWY-6576	dermatan sulfate degradation (metazoa)
PWY-6573	chondroitin sulfate degradation (metazoa)
PWY-6572	chondroitin sulfate and dermatan sulfate degradation I (bacterial)
PWY-5941	glycogen degradation II
PWY-6906	chitin derivatives degradation
PWY-6902	chitin degradation II
PWY-6855	chitin degradation I (archaea)
PWY-6805	cellulose degradation I (cellulosome)
PWY-6788	cellulose degradation II (fungi)
PWY-6822	iota-carrageenan degradation
PWY-6821	kappa-carrageenan degradation
PWY-6817	lambda-carrageenan degradation
PWY-6827	gellan degradation
PWY-6816	agarose degradation
PWY-6815	porphyran degradation
PWY-6813	glucuronoarabinoxylan degradation
PWY-6790	L-arabinan degradation
PWY0-1309	chitobiose degradation
PWY-6527	stachyose degradation
PWY-6028	acetoin degradation
PWY-6927	chlorophyll a degradation II
PWY-5874	heme degradation
PWY-5098	chlorophyll a degradation I
PWY-6370	ascorbate recycling (cytosolic)
PWY-5372	carbon tetrachloride degradation II
PWY-5370	carbon tetrachloride degradation I
PWY-5369	carbon tetrachloride degradation III
PWY-5822	trichloroethylene degradation
PCPDEG-PWY	pentachlorophenol degradation
PCEDEG-PWY	tetrachloroethene degradation
GAMMAHEXCHLORDEG-PWY	gamma-hexachlorocyclohexane degradation
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
PWY0-43	conversion of succinate to propionate
PWY0-42	2-methylcitrate cycle I
PWY-5747	2-methylcitrate cycle II
PROPIONMET-PWY	methylmalonyl pathway
PWY-6698	oxalate degradation V
PWY-6697	oxalate degradation IV
PWY-6696	oxalate degradation III
PWY-6695	oxalate degradation II
PWY-6694	oxalate degradation I
PWY-6060	malonate degradation II (biotin-dependent)
PWY-5794	malonate degradation I (biotin-independent)
PWY-6649	glycolate and glyoxylate degradation III
GLYOXDEG-PWY	glycolate and glyoxylate degradation II
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)
PWY-6960	L-ascorbate degradation III
PWY-6959	L-ascorbate degradation V
PWY-6704	L-ascorbate degradation IV
PWY0-1312	acetate formation from acetyl-CoA I
PWY-5536	acetate formation from acetyl-CoA III (succinate)
PWY-5535	acetate formation from acetyl-CoA II
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II
PYRUVDEHYD-PWY	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)
PWY0-1465	D-malate degradation
PWY0-1313	acetate conversion to acetyl-CoA
PWY-804	glycolate degradation II
PWY-6373	acrylate degradation
PWY-6038	citrate degradation
PWY-6021	nitrilotriacetate degradation
PWY-5749	itaconate degradation
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA
PWY-5534	propylene degradation
PWY-5177	glutaryl-CoA degradation
PWY-5162	2-oxopentenoate degradation
PWY-5074	mevalonate degradation
PWY-301	cyclohexane-1-carboxylate degradation (anaerobic)
PWY-2361	3-oxoadipate degradation
GLUCONSUPER-PWY	D-gluconate degradation
PWY-6966	methanol oxidation to formaldehyde I
PWY-6510	methanol oxidation to formaldehyde II
PWY-6509	methanol oxidation to formaldehyde III
PWY-5506	methanol oxidation to formaldehyde IV
PWY-6742	methane oxidation to methanol II
PWY-1641	methane oxidation to methanol I
RUMP-PWY	formaldehyde oxidation I
PWY1G-170	formaldehyde oxidation III (mycothiol-dependent)
PWY-1801	formaldehyde oxidation II (glutathione-dependent)
PWY-1723	formaldehyde oxidation VI (H4MPT pathway)
PWY-1722	formaldehyde oxidation V (tetrahydrofolate pathway)
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)
PWY-1861	formaldehyde assimilation II (RuMP Cycle)
PWY-1622	formaldehyde assimilation I (serine pathway)
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)
PWY-5392	reductive TCA cycle II
P42-PWY	incomplete reductive TCA cycle
P23-PWY	reductive TCA cycle I
PWY-5789	3-hydroxypropionate/4-hydroxybutyrate cycle
PWY-5743	3-hydroxypropionate cycle
CODH-PWY	reductive acetyl coenzyme A pathway
PWYQT-4429	CO2 fixation into oxaloacetate (anapleurotic)
PWY-5493	reductive monocarboxylic acid cycle
CO2FORM-PWY	methanogenesis from methanol
PWY-1881	formate oxidation to CO2
VALDEG-PWY	valine degradation I
PWY-5057	valine degradation II
TYRFUMCAT-PWY	tyrosine degradation I
PWY3O-4108	tyrosine degradation III
PWY-5151	tyrosine degradation II
TRYPDEG-PWY	tryptophan degradation II (via pyruvate)
TRPKYNCAT-PWY	tryptophan degradation IV (via indole-3-lactate)
TRPCAT-PWY	tryptophan degradation I (via anthranilate)
PWY-6307	tryptophan degradation X (mammalian, via tryptamine)
PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-5081	tryptophan degradation VIII (to tryptophol)
PWY-3162	tryptophan degradation V (side chain pathway)
THREONINE-DEG2-PWY	threonine degradation II
THRDLCTCAT-PWY	threonine degradation III (to methylglyoxal)
PWY-5437	threonine degradation I
PWY-5436	threonine degradation IV
SERDEG-PWY	L-serine degradation
PWY0-1535	D-serine degradation
PROUT-PWY	proline degradation
PWY-6318	phenylalanine degradation IV (mammalian, via side chain)
PWY-5079	phenylalanine degradation III
PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)
ANAPHENOXI-PWY	phenylalanine degradation II (anaerobic)
TAURINEDEG-PWY	taurine degradation III
PWY0-981	taurine degradation IV
PWY-1264	taurine degradation II
PWY-1263	taurine degradation I
PWY-5029	imidazole-lactate degradation
ORN-AMINOPENTANOATE-CAT-PWY	ornithine degradation I (proline biosynthesis)
OCTOPINEDEG-PWY	octopine degradation
NOPALINEDEG-PWY	nopaline degradation
CITRULLINE-DEG-PWY	citrulline degradation
PWY-701	methionine degradation II
PWY-5082	methionine degradation III
METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)
PWY0-461	lysine degradation I
PWY-6328	lysine degradation X
PWY-5324	lysine degradation IX
PWY-5314	lysine degradation VIII
PWY-5311	lysine degradation VII
PWY-5298	lysine degradation VI
PWY-5283	lysine degradation V
PWY-5280	lysine degradation IV
LYSINE-DEG1-PWY	lysine degradation II
LYSDEGII-PWY	lysine degradation III
P163-PWY	lysine fermentation to acetate and butyrate
PWY-5076	leucine degradation III
PWY-5075	leucine degradation II
LEU-DEG2-PWY	leucine degradation I
PWY-5078	isoleucine degradation II
ILEUDEG-PWY	isoleucine degradation I
PWY-5031	histidine degradation V
PWY-5030	histidine degradation III
PWY-5028	histidine degradation II
HISTDEG-PWY	histidine degradation IV
HISHP-PWY	histidine degradation VI
HISDEG-PWY	histidine degradation I
GLYCLEAV-PWY	glycine cleavage complex
GLUTAMINEFUM-PWY	glutamine degradation II
GLUTAMINDEG-PWY	glutamine degradation I
PWY-5766	glutamate degradation X
PWY-5087	glutamate degradation VI (to pyruvate)
PWY-4321	glutamate degradation IV
GLUTAMATE-DEG1-PWY	glutamate degradation I
GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
P162-PWY	glutamate degradation V (via hydroxyglutarate)
PWY-5329	L-cysteine degradation III
LCYSDEG-PWY	L-cysteine degradation II
CYSTEINE-DEG-PWY	L-cysteine degradation I
PWY-1781	beta-alanine degradation II
BETA-ALA-DEGRADATION-I-PWY	beta-alanine degradation I
MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II
ASPARTATE-DEG1-PWY	aspartate degradation I
PWY-4002	asparagine degradation II
ASPARAGINE-DEG1-PWY	asparagine degradation I
PWY-6422	D-arginine degradation
PWY-5742	arginine degradation IX (arginine:pyruvate transaminase pathway)
PWY-5024	arginine degradation XI
AST-PWY	arginine degradation II (AST pathway)
ARGDEG-V-PWY	arginine degradation X (arginine monooxygenase pathway)
ARGDEG-IV-PWY	arginine degradation VIII (arginine oxidase pathway)
ARGDEG-III-PWY	arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)
ARG-GLU-PWY	arginine degradation VII (arginase 3 pathway)
PWY1-2	alanine degradation IV
ALANINE-DEG3-PWY	alanine degradation III
ALADEG-PWY	alanine degradation I
ALACAT2-PWY	alanine degradation II (to D-lactate)
PWY-5159	4-hydroxyproline degradation II
HYDROXYPRODEG-PWY	4-hydroxyproline degradation I
PWY-6344	ornithine degradation II (Stickland reaction)
PWY-6334	L-dopa degradation
PWY-5084	2-ketoglutarate dehydrogenase complex
PWY-5046	branched-chain alpha-keto acid dehydrogenase complex
PWY0-1317	L-lactaldehyde degradation (aerobic)
PWY0-1315	L-lactaldehyde degradation (anaerobic)
PWY-901	methylglyoxal degradation II
PWY-5462	methylglyoxal degradation VIII
PWY-5458	methylglyoxal degradation V
PWY-5456	methylglyoxal degradation VII
PWY-5453	methylglyoxal degradation III
PWY-5386	methylglyoxal degradation I
MGLDLCTANA-PWY	methylglyoxal degradation VI
PWY-4261	glycerol degradation I
PWY-6952	glycerophosphodiester degradation
PWY-6131	glycerol degradation II
PWY-6130	glycerol degradation III
GLYCEROLMETAB-PWY	glycerol degradation V
PWY66-21	ethanol degradation II
PWY66-162	ethanol degradation IV
PWY66-161	oxidative ethanol degradation III
