short_name	long_name
PWY-6998	CDP-D-arabitol biosynthesis
PWY-5823	superpathway of CDP-3,6-dideoxyhexose biosynthesis
PWY-4841	UDP-D-glucuronate biosynthesis (from myo-inositol)
PWY-5114	UDP-sugars interconversion
PWY-4821	UDP-D-xylose and UDP-D-glucuronate biosynthesis
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis
PWY-3261	UDP-L-rhamnose biosynthesis
PWY-3221	dTDP-L-rhamnose biosynthesis II
PWY-6143	CMP-pseudaminate biosynthesis
PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)
PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)
PWY-7131	CMP-legionaminate biosynthesis II
PWY-6749	CMP-legionaminate biosynthesis I
PWY-5659	GDP-mannose biosynthesis
PWY-3881	mannitol biosynthesis
PWY-5054	sorbitol biosynthesis I
PWY-5530	sorbitol biosynthesis II
PWY-6739	pinitol biosynthesis II
PWY-6738	pinitol biosynthesis I
PWY-5983	trehalose biosynthesis VI
PWY-5985	trehalose biosynthesis VII
PWY-881	trehalose biosynthesis II
TRESYN-PWY	trehalose biosynthesis I
PWY-2661	trehalose biosynthesis V
PWY-2622	trehalose biosynthesis IV
TREHALOSESYN-PWY	trehalose biosynthesis III
PWY-6403	carrageenan biosynthesis
PWY-5980	xylogalacturonan biosynthesis
PWY-5936	xyloglucan biosynthesis
PWY-6655	xanthan biosynthesis
PWY-6981	chitin biosynthesis
PWY-6658	acetan biosynthesis
PWY-6773	callose biosynthesis
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
PWY-622	starch biosynthesis
PWY-6073	alginate biosynthesis I
PWY-6082	alginate biosynthesis II
PWY-6571	dermatan sulfate biosynthesis
PWY-6558	heparan sulfate biosynthesis (late stages)
PWY-6567	chondroitin sulfate biosynthesis (late stages)
PWY-6566	chondroitin and dermatan biosynthesis
PWY-6568	dermatan sulfate biosynthesis (late stages)
PWY-6569	chondroitin sulfate biosynthesis
PWY-6564	heparan sulfate biosynthesis
PWY-6557	glycoaminoglycan-protein linkage region biosynthesis
PWY-5343	ajugose biosynthesis II (galactinol-independent)
PWY-5342	ajugose biosynthesis I (galactinol-dependent)
PWY-6524	lychnose biosynthesis
PWY-6778	laminaribiose biosynthesis
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
PWY-6116	mannosylfructose biosynthesis
PWY-7031	undecaprenyl diphosphate-linked heptasaccharide biosynthesis
PWY-6525	stellariose and mediose biosynthesis
PWY-5337	stachyose biosynthesis
PWY-7037	undecaprenyl-diphosphate-linked di- and trisaccharide biosynthesis
PWY-7027	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis
PWY-7026	terminal olefins biosynthesis I
PWY-7029	terminal olefins biosynthesis II
PWY-7035	(Z)-9-tricosene biosynthesis
PWY-6622	heptadecane biosynthesis
PWY-7033	alkane biosynthesis II
PWY-7032	alkane biosynthesis I
PWY1-3	polyhydroxybutyrate biosynthesis
PWY-6270	isoprene biosynthesis
PWY-6931	seleno-amino acid detoxification and volatilization I
PWY-7052	cyanophycin metabolism
PWY-5670	epoxysqualene biosynthesis
PWY0-1534	hydrogen sulfide biosynthesis
PWY-6933	seleno-amino acid detoxification and volatilization III
PWY-6481	L-dopachrome biosynthesis
PWY-6730	methylhalides biosynthesis (plants)
PWY-6840	homoglutathione biosynthesis
PWY-6841	homophytochelatin biosynthesis
PWY-6498	eumelanin biosynthesis
PWY-5109	2-methylbutyrate biosynthesis
PWY-6935	seleno-amino acid detoxification and volatilization II
PWY-6745	phytochelatins biosynthesis
PWY-6657	polyhydroxydecanoate biosynthesis
PWY-6936	seleno-amino acid biosynthesis
PWY-5389	methylthiopropionate biosynthesis
PWY-6154	autoinducer AI-2 biosynthesis II (Vibrio)
PWY-6153	autoinducer AI-2 biosynthesis I
PWY-6157	autoinducer AI-1 biosynthesis
PWY0-662	PRPP biosynthesis I
PWY0-661	PRPP biosynthesis II
PWY-7054	N-acetylglutaminylglutamine amide biosynthesis
PWY-6664	di-myo-inositol phosphate biosynthesis
PWY-5658	mannosylglycerate biosynthesis II
PWY-5656	mannosylglycerate biosynthesis I
PWY-5662	glucosylglycerate biosynthesis I
PWY-6685	glucosylglycerate biosynthesis II
PWY-6686	mannosylglucosylglycerate biosynthesis I
PWY-6687	mannosylglucosylglycerate biosynthesis II
PWY-6054	dimethylsulfoniopropionate biosynthesis I (Wollastonia)
PWY-6055	dimethylsulfoniopropionate biosynthesis II (Spartina)
PWY-6053	dimethylsulfoniopropionate biosynthesis III (algae)
PWY-6585	2-tridecanone biosynthesis
PWY-6699	oxalate biosynthesis
PWY-5960	aflatoxins B2 and G2 biosynthesis
PWY-6795	diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis
PWY-5765	1,3,5-trimethoxybenzene biosynthesis
PWY-6808	dTDP-D-forosamine biosynthesis
PWY-6926	pyrethrin I biosynthesis
PWY-6648	rhamnolipid biosynthesis
PWY-7153	grixazone biosynthesis
PWY-6703	preQ0 biosynthesis
PWY-5955	versicolorin B biosynthesis
PWY-5956	sterigmatocystin biosynthesis
PWY-5961	superpathway of aflatoxin biosynthesis
PWY-6068	indican biosynthesis
PWY-5935	tuberculosinol biosynthesis
PWY-5979	3-amino-5-hydroxybenzoate biosynthesis
PWY-7100	spinosyn A biosynthesis
PWY-7075	phenylethyl acetate biosynthesis
PWY-4161	superpathway of benzoxazinoid glucosides biosynthesis
PWY-6839	2-aminoethylphosphonate biosynthesis
PWY-6644	fluoroacetate and fluorothreonine biosynthesis
PWY-6920	6-gingerol analog biosynthesis
PWY-7076	3,5-dimethoxytoluene biosynthesis
PWY-6831	pyrrolnitrin biosynthesis
PWY-6069	indigo biosynthesis
PWY-7040	violacein biosynthesis
PWY-7136	beta myrcene degradation
PWY-5954	(1S,5S)-averufin biosynthesis
PWY-5826	hypoglycin biosynthesis
PWY-6950	DIMBOA-glucoside biosynthesis
PWY-6662	superpathway of quinolone and alkylquinolone biosynthesis
PWY-5959	aflatoxins B1 and G1 biosynthesis
PWY-7074	phenylethanol glycoconjugate biosynthesis
PWY-6661	4-hydroxy-2(1H)-quinolone biosynthesis
PWY-6949	DIBOA-glucoside biosynthesis
PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis
PWY-5975	furaneol biosynthesis
PWY-6802	salidroside biosynthesis
PWY-7169	hyperxanthone E biosynthesis
PWY-5002	tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)
PWY-5001	tetrahydroxyxanthone biosynthesis (from benzoate)
PWY-13	superpathway of tetrahydroxyxanthone biosynthesis
PWY-5751	phenylethanol biosynthesis
PWY-5882	epoxypseudoisoeugenol-2-methylbutyrate biosynthesis
PWY-5665	vanilla biosynthesis
PWY-6835	6-gingerol biosynthesis
PWY-4421	curcumin glucoside biosynthesis
PWY-6673	caffeoylglucarate biosynthesis
PWY-5045	pinosylvin metabolism
PWY-84	resveratrol biosynthesis
PWY-6665	pterostilbene biosynthesis
PWY-981	salicylate biosynthesis II
PWY-6406	salicylate biosynthesis I
PWY-6624	salicylate glucosides biosynthesis III
PWY-6623	salicylate glucosides biosynthesis II
PWY-6621	salicylate glucosides biosynthesis I
PWY-6762	salicylate glucosides biosynthesis IV
PWY-4203	volatile benzenoid biosynthesis I (ester formation)
PWY-6444	benzoate biosynthesis II (CoA-independent, non-beta-oxidative)
PWY-6443	benzoate biosynthesis I (CoA-dependent, beta-oxidative)
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-beta-oxidative)
PWY-6766	salicin biosynthesis
PWY-6763	salicortin biosynthesis
PWY-5176	coumarin biosynthesis (via 2-coumarate)
PWY-7058	esculetin modification
PWY-6792	scopoletin biosynthesis
PWY-5365	linear furanocoumarin biosynthesis
PWY-7057	cichoriin interconversion
PWY-7186	superpathway of scopolin and esculin biosynthesis
PWY-6982	umbelliferone biosynthesis
PWY-7055	daphnetin modification
PWY-5319	coumarin metabolism (to melilotic acid)
PWY-5349	esculetin biosynthesis
PWY-4922	6-methoxymellein biosynthesis
PWY-7056	daphnin interconversion
PWY-116	coniferin metabolism
PWY-361	phenylpropanoid biosynthesis
PWY-6302	dihydroconiferyl alcohol biosynthesis
PWY-3301	sinapate ester biosynthesis
PWY-6457	trans-cinnamoyl-CoA biosynthesis
PWY-6040	chlorogenic acid biosynthesis II
PWY1F-467	phenylpropanoid biosynthesis, initial reactions
PWY-5168	ferulate and sinapate biosynthesis
PWY-5859	eugenol and isoeugenol biosynthesis
PWY-5071	superpathway of rosmarinic acid biosynthesis
PWY-5049	rosmarinic acid biosynthesis II
PWY-6039	chlorogenic acid biosynthesis I
PWY-5867	t-anethole biosynthesis
PWY-5968	cinnamate esters biosynthesis
PWY-5048	rosmarinic acid biosynthesis I
PWY-2181	free phenylpropanoid acid biosynthesis
PWY-7079	geodin biosynthesis
PWY-7080	asterrate biosynthesis
PWY-5701	shikonin biosynthesis
PWY-5795	juglone biosynthesis
PWY-5780	hypericin biosynthesis
PWY-5371	chrysophanol biosynthesis
PWY-5987	sorgoleone biosynthesis
PWY-5801	lawsone biosynthesis
PWY-5802	alizarin biosynthesis
PWY-5791	1,4-dihydroxy-2-naphthoate biosynthesis II (plants)
PWY-6824	justicidin B biosynthesis
PWY-6820	diphyllin biosynthesis
PWY-5466	matairesinol biosynthesis
PWY-5469	sesamin biosynthesis
PWY-5479	podophyllotoxin and 6-methoxypodophyllotoxin biosynthesis
PWY-7139	sesaminol glucoside biosynthesis
PWY1F-FLAVSYN	flavonoid biosynthesis
PWY-6515	phloridzin biosynthesis
PWY-6787	flavonoid biosynthesis (in equisetum)
PWY-6232	chrysoeriol biosynthesis
PWY-6029	2,3-trans-flavanols biosynthesis
PWY-2055	superpathway of pterocarpan biosynthesis (via daidzein)
PWY-6332	coumestrol biosynthesis
PWY-2083	isoflavonoid biosynthesis II
PWY-3042	phaseollin biosynthesis
PWY-5729	vestitol and sativan biosynthesis
PWY-5825	dalpatein and dalnigrein biosynthesis
PWY-2561	medicarpin conjugates interconversion
PWY-2345	genistein conjugates interconversion
PWY-2321	formononetin biosynthesis
PWY-7145	genistin gentiobioside biosynthesis
PWY-2464	maackiain biosynthesis
PWY-5926	afrormosin conjugates interconversion
PWY-2002	isoflavonoid biosynthesis I
PWY-2467	pisatin biosynthesis
PWY-5061	6,7,4-trihydroxyisoflavone biosynthesis
PWY-2701	maackiain conjugates interconversion
PWY-2861	biochanin A conjugates interconversion
PWY-3097	superpathway of isoflavonoids (via naringenin)
PWY-5821	dalcochinin biosynthesis
PWY-2904	formononetin conjugates interconversion
PWY-2761	glyceollin biosynthesis I
PWY-2229	superpathway of pterocarpan biosynthesis (via formononetin)
PWY-2343	daidzein conjugates interconversion
PWY-2463	medicarpin biosynthesis
PWY-4502	wighteone and luteone biosynthesis
PWY-2762	glyceollin biosynthesis II
PWY-4681	kievitone biosynthesis
PWY-5775	rotenoid biosynthesis I
PWY-6425	rotenoid biosynthesis II
PWY-6427	rot-2-enonate biosynthesis
PWY-6401	hispidol biosynthesis
PWY-1901	aurone biosynthesis
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis
PWY-5152	leucodelphinidin biosynthesis
PWY-5116	sakuranetin biosynthesis
PWY-5094	naringenin glycoside biosynthesis
PWY-5118	ponciretin biosynthesis
PWY-6602	C-glycosylflavone biosynthesis I
PWY-5105	hesperitin glycoside biosynthesis
PWY-5135	xanthohumol biosynthesis
PWY-6914	sophoraflavanone G biosynthesis
PWY-5119	acacetin biosynthesis
PWY-6024	isovitexin and isovitexin glycosides biosynthesis
PWY-7189	C-glycosylflavone biosynthesis III
PWY-5793	maysin biosynthesis
PWY-7161	polymethylated quercetin biosynthesis
PWY-7188	C-glycosylflavone biosynthesis II
PWY-6010	apigenin glycosides biosynthesis
PWY-6015	vitexin and derivatives biosynthesis
PWY-5060	luteolin biosynthesis
PWY-6239	luteolin glycosides biosynthesis
PWY-5268	salvianin biosynthesis
PWY-5160	rose anthocyanin biosynthesis
PWY-5125	anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)
PWY-5153	anthocyanin biosynthesis (delphinidin 3-O-glucoside)
PWY-5310	superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)
PWY-5295	ternatin C5 biosynthesis
PWY-5139	pelargonidin conjugates biosynthesis
PWY-5313	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)
PWY-5312	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)
PWY-5307	gentiodelphin biosynthesis
PWY-5284	shisonin biosynthesis
PWY-5286	anthocyanidin sophoroside metabolism
PWY-641	proanthocyanidin biosynthesis from flavanols
PWY-7166	kaempferide triglycoside biosynthesis
PWY-5348	kaempferol triglucoside biosynthesis
PWY-6064	methylquercetin biosynthesis
PWY-5363	chrysin biosynthesis
PWY-3101	flavonol biosynthesis
PWY-7149	superpathway polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)
PWY-5390	rutin biosynthesis
PWY-5391	syringetin biosynthesis
PWY-5321	quercetin glycoside biosynthesis (Arabidopsis)
PWY-6035	2,3-cis-flavanols biosynthesis
PWY-7192	quercetin diglycoside biosynthesis (pollen-specific)
PWY-7151	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)
PWY-6199	quercetinsulphates biosynthesis
PWY-6631	O -methylation of tricetin
PWY-7173	quercetin triglucoside biosynthesis
PWY-7172	flavonol acylglucoside biosynthesis III - quercetin derivatives
PWY-7160	polymethylated myricetin biosynthesis (tomato)
PWY-7171	flavonol acylglucoside biosynthesis II - isorhamnetin derivatives
PWY-7191	kaempferol diglycoside biosynthesis (pollen-specific)
PWY-7140	myricetin gentiobioside biosynthesis
PWY-7150	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)
PWY-5059	pinobanksin biosynthesis
PWY-7137	quercetin gentiotetraside biosynthesis
PWY-5320	kaempferol glycoside biosynthesis (Arabidopsis)
PWY-7163	polymethylated kaempferol biosynthesis
PWY-7129	quercetin glucoside biosynthesis (Allium)
PWY-7143	kaempferol gentiobioside biosynthesis
PWY-7168	flavonol acylglucoside biosynthesis I - kaempferol derivatives
PWY-7157	eupatolitin 3-O-glucoside biosynthesis
PWY-5161	6-deoxychalcone metabolism
PWY-6325	echinatin biosynthesis
PWY-5339	chalcone 2-O-glucoside biosynthesis
PWY-5475	pentagalloylglucose biosynthesis
PWY-5478	superpathway of hydrolyzable tannin biosynthesis
PWY-5476	cornusiin E biosynthesis
PWY-5477	gallotannin biosynthesis
PWY-7087	2-methylisoborneol biosynthesis
PWY-5827	heliocides biosynthesis
PWY-5828	lacinilene C biosynthesis
PWY-5424	superpathway of oleoresin turpentine biosynthesis
PWY-922	mevalonate pathway I
PWY-6913	methylbutenol biosynthesis
PWY-6174	mevalonate pathway II (archaea)
PWY-6445	fenchol biosynthesis II
PWY-6447	trichome monoterpenes biosynthesis
PWY-3061	menthol biosynthesis
PWY-5835	geranyl acetate biosynthesis
PWY-6437	fenchol biosynthesis I
PWY-5829	geraniol and geranial biosynthesis
PWY-5423	oleoresin monoterpene volatiles biosynthesis
PWY-6449	fenchone biosynthesis
PWY-5928	(4R)-carvone biosynthesis
PWY-6668	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis
PWY-5813	bornyl diphosphate biosynthesis
PWY-6451	3-carene biosynthesis
PWY-3041	monoterpene biosynthesis
PWY-6436	perillyl alcohol biosynthesis
PWY2OL-4	superpathway of linalool biosynthesis
PWY-7141	linalool biosynthesis II
PWY-7182	linalool biosynthesis I
PWY-6991	(-)-camphor biosynthesis
PWY-6990	(+)-camphor biosynthesis
PWY-5815	rubber biosynthesis
PWY-5943	beta-carotene biosynthesis
PWY-5945	zeaxanthin, antheraxanthin and violaxanthin interconversion
PWY-6280	synechoxanthin biosynthesis
PWY-7175	nostoxanthin biosynthesis
PWY-5944	zeaxanthin biosynthesis
PWY-6279	myxol-2 fucoside biosynthesis
PWY-5947	lutein biosynthesis
PWY-6288	zeaxanthin-beta-D-diglucoside biosynthesis
PWY-5175	lactucaxanthin biosynthesis
PWY-6286	spheroidene and spheroidenone biosynthesis
PWY-5291	canthaxanthin biosynthesis
PWY-6287	neurosporene biosynthesis
PWY-6581	spirilloxanthin and 2,2-diketo-spirilloxanthin biosynthesis
PWY-5288	astaxanthin biosynthesis
PWY-5946	delta-carotene biosynthesis
PWY-5174	capsanthin and capsorubin biosynthesis
PWY-6681	neurosporaxanthin biosynthesis
PWY-5397	crocetin biosynthesis
PWY-5398	crocetin esters biosynthesis
PWY-5305	bixin biosynthesis
PWY-5733	germacrene biosynthesis
PWY-2961	sesquiterpenoid phytoalexins biosynthesis
PWY-6888	zealexin biosynthesis
PWY-5950	geosmin biosynthesis
PWY-5725	farnesene biosynthesis
PWY-6291	valencene and 7-epi-alpha-selinene biosynthesis
PWY-6278	botrydial biosynthesis
PWY-6540	costunolide biosynthesis
PWY-5425	oleoresin sesquiterpene volatiles biosynthesis
PWY-6257	curcumene biosynthesis
PWY-5773	gossypol biosynthesis
PWY-2921	capsidiol biosynthesis
PWY-6258	patchoulol biosynthesis
PWY-6669	delta-guaiene biosynthesis
PWY-6836	santalene biosynthesis II
PWY-6254	santalene biosynthesis I
PWY-6271	eudesmol biosynthesis
PWY-6290	beta-cubebene biosynthesis
PWY-6294	selinene biosynthesis
PWY-5434	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis
PWY-6128	cis-calamenene related sesquiterpenoids biosynthesis
PWY-6265	zerumbone biosynthesis
PWY-5195	artemisinin biosynthesis
PWY-6275	beta-caryophyllene biosynthesis
PWY-6243	bergamotene biosynthesis I
PWY-6244	bergamotene biosynthesis II
PWY4FS-17	abscisic acid biosynthesis shunt
PWY-695	abscisic acid biosynthesis
PWY-5272	abscisic acid glucose ester biosynthesis
PWY-5271	phaseic acid biosynthesis
PWY-6575	juvenile hormone III biosynthesis I
PWY-6650	juvenile hormone III biosynthesis II
PWY-6659	fusicoccins biosynthesis
PWY-6691	plaunotol biosynthesis
PWY-6887	kauralexin biosynthesis
PWY-5107	phytol salvage pathway
PWY-7071	steviol glucoside biosynthesis (rebaudioside A biosynthesis)
PWY-6304	casbene biosynthesis
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-7065	2alpha,7beta-dihydroxylation of taxusin
PWY-5121	superpathway of geranylgeranyldiphosphate biosynthesis II (via MEP)
PWY-2981	diterpene phytoalexins precursors biosynthesis
PWY-7070	steviol biosynthesis
PWY-5660	taxol biosynthesis
PWY-6645	labdane-type diterpenes biosynthesis
PWY-5034	GA12 biosynthesis
PWY-5047	gibberellin biosynthesis IV (Gibberella fujikuroi)
PWY-5053	superpathway of GA12 biosynthesis
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)
PWY-5070	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)
PWY-5036	gibberellin biosynthesis II (early C-3 hydroxylation)
PWY-6653	ent -kaurene biosynthesis II
PWY-5052	superpathway of gibberellin biosynthesis
PWY-5032	ent-kaurene biosynthesis I
PWY-5416	superpathway of diterpene resin acids biosynthesis
PWY-5413	neoabietic acid biosynthesis
PWY-5414	palustric acid biosynthesis
PWY-5422	isopimaric acid biosynthesis
PWY-5421	dehydroabietic acid biosynthesis
PWY-5412	levopimaric acid biosynthesis
PWY-5411	abietic acid biosynthesis
PWY-5063	phytyl diphosphate biosynthesis
PWY-6005	marneral biosynthesis
PWY-5756	saponin biosynthesis II
PWY-5875	staphyloxanthin biosynthesis
PWY-112	lupeol biosynthesis
PWY-5203	soybean saponin I biosynthesis
PWY-7067	betulinate biosynthesis
PWY-5759	saponin biosynthesis III
PWY-6095	dammara-20,24-diene biosynthesis
PWY-7068	ursolate biosynthesis
PWY-6115	avenacin biosynthesis
PWY-5377	alpha-amyrin biosynthesis
PWY-6008	baruol biosynthesis
PWY-6105	botryococcenes and methylated squalene biosynthesis
PWY-6098	diploterol and cycloartenol biosynthesis
PWY-7066	glycyrrhetinate biosynthesis
PWY-6109	mangrove triterpenoid biosynthesis
PWY-2541	plant sterol biosynthesis
PWY-5774	saponin biosynthesis IV
PWY-5992	thalianol and derivatives biosynthesis
PWY-7069	oleanolate biosynthesis
PWY-6007	arabidiol biosynthesis
PWY-5672	ginsenoside biosynthesis
PWY-7072	hopanoid biosynthesis (bacteria)
PWY-6767	4,4-diapolycopenedioate biosynthesis
PWY-5301	ajmaline and sarpagine biosynthesis
PWY-5290	secologanin and strictosidine biosynthesis
PWY-5292	vindoline and vinblastine biosynthesis
PWY-6809	neoxanthin biosynthesis
CAROTENOID-PWY	superpathway of carotenoid biosynthesis
PWY-6475	trans-lycopene biosynthesis II (plants)
PWY-5942	trans-lycopene biosynthesis I (bacteria)
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway
PWY-5408	9-lipoxygenase and 9-hydroperoxide lyase pathway
PWY-735	jasmonic acid biosynthesis
PWY-5433	superpathway of lipoxygenase
PWY-5410	traumatin and (Z)-3-hexen-1-yl acetate biosynthesis
PWY-5409	divinyl ether biosynthesis II
PWY-5406	divinyl ether biosynthesis I
PWY-6627	salinosporamide A biosynthesis
PWY-6314	plumbagin biosynthesis
PWY-5393	raspberry ketone biosynthesis
PWY-4801	aloesone biosynthesis I
PWY-6418	4-hydroxycoumarin and dicoumarol biosynthesis
PWY-12	pentaketide chromone biosynthesis
PWY-6312	barbaloin biosynthesis
PWY-5810	usnate biosynthesis
PWY-6432	curcuminoid biosynthesis
PWY-6316	aromatic polyketides biosynthesis
PWY-6310	aloesone biosynthesis II
PWY-6438	phenylphenalenone biosynthesis
PWY-5132	humulone biosynthesis
PWY-7105	olivetol biosynthesis (olivetol synthase by-products synthesis)
PWY-5133	cohumulone biosynthesis
PWY-5808	hyperforin and adhyperforin biosynthesis
PWY-5134	bitter acids biosynthesis
PWY-5140	cannabinoid biosynthesis
PWY-3181	tryptophan degradation VI (via tryptamine)
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-5473	hydroxycinnamic acid serotonin amides biosynthesis
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis
PWY-6448	hordatine biosynthesis
PWY-5110	trigonelline biosynthesis
PWY-4961	beta-pyrazole-1-ylalanine biosynthesis
PWY-5	canavanine biosynthesis
PWY-5021	willardiine and isowillardiine biosynthesis
PWY-1	lathyrine biosynthesis
PWY-4985	mimosine biosynthesis
PWY-5388	N-glucosylnicotinate metabolism
PWY-7088	taxiphyllin biosynthesis
PWY-3022	linamarin biosynthesis
PWY-5990	lotaustralin biosynthesis
PWY-7095	3,4-dihydroxymandelonitrile beta-D-glucose biosynthesis
PWY-861	dhurrin biosynthesis
PWY-1187	glucosinolate biosynthesis from homomethionine
PWYQT-4450	aliphatic glucosinolate biosynthesis, side chain elongation cycle
PWYQT-4474	glucosinolate biosynthesis from pentahomomethionine
PWYQT-4475	glucosinolate biosynthesis from hexahomomethionine
PWYQT-4473	glucosinolate biosynthesis from tetrahomomethionine
PWY-2821	glucosinolate biosynthesis from phenylalanine
PWYQT-4472	glucosinolate biosynthesis from trihomomethionine
