RXN	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
ENOYL-COA-HYDRAT-RXN	16	21	11	8	13	15	18
LEUCINE--TRNA-LIGASE-RXN	9	4	2	11	2	13	8
ALDOSE1EPIM-RXN	2	1	1	1	0	1	0
PRPPAMIDOTRANS-RXN	6	2	3	2	4	6	5
3-OXOADIPATE-COA-TRANSFERASE-RXN	0	0	0	0	0	3	4
GALACTURIDYLYLTRANS-RXN	0	0	0	0	0	1	0
RXN0-5390	1	2	1	0	1	1	1
OHMETHYLBILANESYN-RXN	3	0	1	3	1	1	2
SUCCSEMIALDDEHYDROG-RXN	0	3	1	1	5	2	1
RXN-9069	0	1	1	0	0	1	0
R122-RXN	0	0	0	1	1	0	0
RXN-9380	0	0	0	0	0	0	1
1.97.1.2-RXN	2	0	0	0	0	1	0
NADH-DEHYDROG-A-RXN	10	18	8	17	19	40	22
GLUTDECARBOX-RXN	2	1	1	1	0	0	2
GTP-CYCLOHYDRO-I-RXN	1	2	2	0	3	2	1
2.9.1.1-RXN	0	1	0	1	1	4	1
GLUCOKIN-RXN	1	0	0	1	0	0	0
PRPPSYN-RXN	3	2	2	4	3	0	10
DMK-RXN	0	1	0	0	0	1	0
2-ISOPROPYLMALATESYN-RXN	5	1	3	6	1	7	5
PHENYLALANINE--TRNA-LIGASE-RXN	11	6	1	4	6	7	6
R310-RXN	1	2	0	0	0	1	1
KDPGALDOL-RXN	0	0	0	0	0	0	1
DIHYDROXYMETVALDEHYDRAT-RXN	5	6	6	2	6	4	6
2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN	1	0	0	0	0	0	0
SARCOSINE-DEHYDROGENASE-RXN	0	0	1	1	0	0	2
RXN-721	1	1	1	0	2	0	1
FESO3OXI-RXN	0	0	0	0	0	0	1
ASPDECARBOX-RXN	0	0	1	0	0	0	0
GLUCOSAMINE-6-P-DEAMIN-RXN	0	3	1	2	0	0	0
SUCCGLUALDDEHYD-RXN	7	18	3	3	17	14	15
GUANYL-KIN-RXN	0	2	1	0	1	3	3
2.3.1.157-RXN	1	1	0	0	1	0	0
HYDROG-RXN	0	0	0	1	0	2	1
RXN-9524	1	0	0	0	0	0	0
6.2.1.33-RXN	0	0	1	0	0	0	0
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	9	6	4	2	5	12	6
GLUC1PURIDYLTRANS-RXN	0	0	1	0	1	1	1
ADENYLOSUCCINATE-SYNTHASE-RXN	2	2	3	1	3	3	3
3-OXOACYL-ACP-SYNTH-RXN	8	3	3	3	5	7	8
ACETALD-DEHYDROG-RXN	7	18	3	3	17	15	16
TRYPTOPHAN-AMINOTRANSFERASE-RXN	2	0	0	0	0	0	0
